param_model__C,param_model__penalty,param_model__solver,param_model__class_weight,mean_test_score,std_test_score,rank_test_score
0.1,l1,saga,balanced,0.9184207361695378,0.0019917152800837507,1
0.1,l1,liblinear,balanced,0.9182996520725183,0.0019708642676252944,2
1.0,l1,saga,balanced,0.9182761151253473,0.0021185901793611102,3
10.0,l1,liblinear,,0.918259978076841,0.002024404702016434,4
0.1,l1,saga,,0.9182536046779053,0.0020339720013720446,5
10.0,l2,saga,balanced,0.9182166422512468,0.0019740260804479706,6
0.1,l1,liblinear,,0.9182161822110555,0.0019645680625858717,7
1.0,l1,saga,,0.9181937838050542,0.0022828688045200564,8
1.0,l1,liblinear,balanced,0.9181797733675378,0.0019342955915399658,9
10.0,l1,liblinear,balanced,0.9181680376330063,0.002220896163974106,10
100.0,l1,liblinear,,0.9181619792300856,0.002035423261608898,11
10.0,l2,saga,,0.9181611091356154,0.0019570246041329563,12
100.0,l1,saga,balanced,0.9181523065150735,0.002175780303801269,13
1.0,l2,saga,,0.9181517264809209,0.0017462598869792724,14
100.0,l1,liblinear,balanced,0.9181440471784583,0.0020944886071678627,15
100.0,l2,liblinear,,0.9181297493222079,0.0019299737745734741,16
10.0,l2,liblinear,balanced,0.9181223177552184,0.0021236928072388686,17
1.0,l2,liblinear,,0.9181099605554852,0.0018100672106722369,18
10.0,l1,saga,balanced,0.9181027999362102,0.001971291855557071,19
100.0,l2,saga,balanced,0.918101581735348,0.001961561868112546,20
100.0,l2,liblinear,balanced,0.9180855783436188,0.0021114666981946295,21
100.0,l2,saga,,0.9180737654624425,0.002018848415061784,22
1.0,l1,liblinear,,0.9180471285055913,0.0020574473753003047,23
10.0,l1,saga,,0.9180426222197461,0.0020363111599553114,24
1.0,l2,saga,balanced,0.9180399929937908,0.0019022183951235238,25
1.0,l2,liblinear,balanced,0.9180031453211678,0.0018899229582112406,26
100.0,l1,saga,,0.9179895278768655,0.0021031331703999716,27
10.0,l2,liblinear,,0.9179736223533222,0.0019058560504817273,28
0.1,l2,liblinear,balanced,0.9175274670388038,0.0014320722965670538,29
0.1,l2,saga,,0.9175184561888502,0.0015978570412569955,30
0.1,l2,liblinear,,0.9175061817435731,0.0014898524837331658,31
0.1,l2,saga,balanced,0.9173769557333273,0.0015356799417754908,32
0.01,l2,liblinear,,0.9162455264931377,0.002141592835028937,33
0.01,l2,saga,,0.9159427326223725,0.0021569896509993957,34
0.01,l2,saga,balanced,0.9159161266115614,0.002180336917703255,35
0.01,l2,liblinear,balanced,0.9159133211368647,0.0021242751304017533,36
0.01,l1,liblinear,balanced,0.9151475250832792,0.002797667002235315,37
0.01,l1,saga,,0.9150012281358677,0.002945973636466393,38
0.01,l1,liblinear,,0.9149837882662991,0.002848680473609936,39
0.01,l1,saga,balanced,0.9149392538608996,0.0029096945941484887,40
0.001,l1,liblinear,balanced,0.9047329212907963,0.004005917714720253,41
0.001,l1,liblinear,,0.904617181574513,0.0037386886275822253,42
0.001,l2,liblinear,,0.902797116158192,0.004771854994748425,43
0.001,l2,liblinear,balanced,0.9025082852346221,0.00468946700140624,44
0.001,l2,saga,balanced,0.9023766295046298,0.004932864053284479,45
0.001,l2,saga,,0.90236462782957,0.004995463890623555,46
0.001,l1,saga,,0.8946701119077554,0.003596743045674597,47
0.001,l1,saga,balanced,0.8944418585759204,0.003688366736233038,48
