param_model__n_neighbors,param_model__weights,param_model__metric,mean_test_score,std_test_score,rank_test_score
15,uniform,manhattan,0.8265627291465776,0.009002271496092994,1
15,distance,manhattan,0.8241505524833336,0.008595316509545646,2
15,uniform,euclidean,0.8174947171927709,0.007176557962335981,3
15,distance,minkowski,0.8152839169345759,0.009315235175261226,4
15,uniform,minkowski,0.8150510824012389,0.007491972732092712,5
11,uniform,manhattan,0.8149570730449666,0.009088902119642663,6
15,distance,euclidean,0.8142063663326349,0.009751497770155906,7
11,distance,manhattan,0.8129572019040104,0.008504523763094981,8
11,uniform,minkowski,0.8084759314143113,0.007231025391321926,9
9,uniform,manhattan,0.808229765570581,0.007969196584142722,10
11,uniform,euclidean,0.8080164267065353,0.008049182875489088,11
11,distance,euclidean,0.8072772299298048,0.008353900021327874,12
11,distance,minkowski,0.8072770443469217,0.0074741233185809264,13
9,distance,manhattan,0.8068560326084088,0.007312731969552204,14
9,distance,minkowski,0.8026589647992605,0.00754720759951803,15
9,distance,euclidean,0.8018515117509144,0.007839235292196557,16
9,uniform,minkowski,0.8014694469801646,0.0066283185371775084,17
9,uniform,euclidean,0.8013446416115142,0.007555650751138668,18
7,uniform,manhattan,0.797604486476498,0.008110017711276719,19
7,distance,euclidean,0.7958373148150086,0.008687823960173844,20
7,distance,manhattan,0.7957819168103816,0.008330717067303185,21
7,uniform,euclidean,0.7943790404842259,0.007298405109318703,22
7,distance,minkowski,0.7940071932856444,0.008261297448718513,23
7,uniform,minkowski,0.7939279140635355,0.007241446578489642,24
5,uniform,minkowski,0.7829927276725931,0.008728009321918572,25
5,uniform,euclidean,0.7814074183070824,0.009845863564611163,26
5,distance,minkowski,0.7812822770849328,0.009742117121396172,27
5,distance,euclidean,0.7811956201157195,0.00846727693589218,28
5,uniform,manhattan,0.7792676134763363,0.009528601201605199,29
5,distance,manhattan,0.7786888768166274,0.00882669856282619,30
3,distance,minkowski,0.757053667590543,0.007681411528747712,31
3,uniform,minkowski,0.7562348050431031,0.009026888666178472,32
3,uniform,euclidean,0.7556501626982831,0.0068058864102433225,33
3,distance,euclidean,0.7553565437094186,0.006375839924296168,34
3,uniform,manhattan,0.7488855324477359,0.01021093828266986,35
3,distance,manhattan,0.7482692940207748,0.009734486642872438,36
